"","zip","address","city","agency","bedrooms","price","squarefeet","Price_per_sqft","zone"
"1","V5N 4B5","302 - 2250 COMMERCIAL DR ","Vancouver","Sutton Premier Realty","1",599000,553,1083.18264014467,"South Grandview"
"2","V5Y 2N3","494 W 37 AVE ","Vancouver","Sutton Group-West Coast Realty","8",6900000,4400,1568.18181818182,"West Mount Pleasant/ West Riley Park"
"3","V6P 5N8","8115 LABURNUM ST ","Vancouver","LeHomes Realty","7",6888000,5836,1180.26045236463,"SE Kerrisdale/West Marpole"
"4","V6B 6L6","308 - 933 SEYMOUR ST ","Vancouver","Sutton Group-West Coast Realty","1",645000,655,984.732824427481,"NE Downtown/ Gastown/ Yaletown"
"5","V7N 2G9","419 W 26 ST ","North Vancouver","Royal LePage Sussex","4",1500000,1950,769.230769230769,"Not Available"
"6","V5X 0C7","1904 - 489 INTERURBAN WAY ","Vancouver","Sutton Group - 1st West Realty","1",590000,491,1201.62932790224,"SE Oakridge/ East Marpole/ South Sunset"
"7","V5X 3Z9","7983 PRINCE ALBERT ST ","Vancouver","Sutton Group-West Coast Realty","8",2180000,3461,629.875758451315,"SE Oakridge/ East Marpole/ South Sunset"
"8","V7V 3Z9","2070 WESTDEAN CRES ","West Vancouver","LeHomes Realty","5",2688000,2658,1011.28668171558,"Not Available"
"9","V5R 6E6","1509 - 5288 MELBOURNE ST ","Vancouver","Tim Hill, RE/MAX All Points Realty","2",548800,844,650.236966824645,"South Renfrew"
"10","V7V 2M6","3670 MCKECHNIE AVE ","West Vancouver","RA Realty Alliance Inc.","4",2895000,4402,657.65561108587,"Not Available"
"11","V5V 4J5","4171 PRINCE ALBERT ST ","Vancouver","Engel & Volkers Vancouver","4",1799000,1594,1128.60727728984,"West Kensington-Cedar Cottage/ NE Riley Park"
"12","V6A 0G1","208 - 161 E 1 AVE ","Vancouver","Ben Thomson, RE/MAX Crest Realty","1",865000,714,1211.48459383753,"Strathcona/Chinatown/ Downtown Eastside"
"13","V5N 2T7","906 2220 KINGSWAY AVENUE ","Vancouver","CHARLIE (XUE SONG) BAI, RE/MAX POWELL RIVER","2",868000,798,1087.71929824561,"South Grandview"
"14","V7V 1Z2","1863 INGLEWOOD AVE ","West Vancouver","Royal LePage Sussex","5",5498000,6150,893.983739837398,"Not Available"
"15","V6P 0G3","987 W 70th Ave ","Vancouver","Jan Chan, RE/MAX Crest Realty (South Granville)","2",875800,1002,874.051896207585,"SE Kerrisdale/West Marpole"
"16","V5K 1Z3","224 - 2556 HASTINGS ST E ","Vancouver","Oakwyn Realty Ltd.","1",639900,886,722.234762979684,"North hastings-Sunrise"
"17","V6T 0A7","305 - 6333 LARKIN DR ","Vancouver","Pacific Evergreen Realty Ltd.","2",1199000,1308,916.666666666667,"UBC Endowment Lands"
"18","V5W 4B7","114 - 6475 CHESTER ST ","Vancouver","Oakwyn Realty Ltd.","1",589900,906,651.103752759382,"SE Riley Park"
"19","V7M 1T2","G08 715 W 15TH STREET ","North Vancouver","Rennie & Associates Realty Ltd.","1",629900,652,966.104294478528,"Not Available"
"20","V7R 1C3","1500 PAISLEY RD ","North Vancouver","Angell, Hasman & Associates Realty Ltd.","3",1599000,2150,743.720930232558,"Not Available"
"21","V7V 1X9","2397 HAYWOOD AVE ","West Vancouver","Macdonald Realty","3",2858000,1964,1455.19348268839,"Not Available"
"22","V6Z 2S6","505 - 888 PACIFIC ST ","Vancouver","Courtesy of Mabel Ko, RE/MAX City Realty","1",488000,595,820.168067226891,"SW Downtown"
"23","V6E 3W6","201 - 1215 PACIFIC ST ","Vancouver","Jeff Benna, RE/MAX Real Estate Services","1",499000,642,777.258566978193,"SE West End/Davie Village"
"24","V7L 1E6","201 - 122 E 3 ST ","North Vancouver","Bob Brattston, RE/MAX Crest Realty (Macdonald)","2",765000,909,841.584158415842,"Not Available"
"25","V6A 1W5","2 - 1112 EAST PENDER ST ","Vancouver","Sutton Group-West Coast Realty","3",1199000,1404,853.988603988604,"Strathcona/Chinatown/ Downtown Eastside"
"26","V7L 0B5","1007 - 172 VICTORY SHIP WAY ","North Vancouver","eXp Realty","1",668826,560,1194.33214285714,"Not Available"
"27","V5R 4G6","2306 - 5058 JOYCE ST ","Vancouver","Courtesy of Howard Wang, RE/MAX Crest Realty","2",849800,771,1102.20492866407,"South Renfrew"
"28","V5R 4G6","2309 - 5058 JOYCE ST ","Vancouver","Courtesy of Howard Wang, RE/MAX Crest Realty","2",688800,617,1116.36952998379,"South Renfrew"
"29","V7S 3J7","303 - 3315 CYPRESS PL ","West Vancouver","Sotheby's International Realty Canada","1",1088000,925,1176.21621621622,"Not Available"
"30","V5S 4B6","3438 COPELAND AVENUE ","Vancouver","James Hampton, RE/MAX Crest Realty (Burnaby Kingsway)","3",590000,1175,502.127659574468,"Killarney"
"31","V6P 4V9","8147 FRENCH ST ","Vancouver","Nu Stream Realty Inc.","4",1990000,2768,718.93063583815,"SE Kerrisdale/West Marpole"
"32","V5X 2L5","1369 E 63 AVE ","Vancouver","Century 21 Prudential Estates (Rmd) Ltd.","5",1560000,2346,664.961636828644,"SE Oakridge/ East Marpole/ South Sunset"
"33","V6P 3Y4","987 W 70TH AVENUE ","Vancouver","Jan Chan, RE/MAX Crest Realty (South Granville)","2",875800,1002,874.051896207585,"SE Kerrisdale/West Marpole"
"34","V5M 4V1","603 - 2468 EAST BROADWAY ","Vancouver","Glenn Warren, RE/MAX City Realty","2",329900,1025,321.853658536585,"South Hastings-Sunrise/North Renfrew"
"35","V5R 3J3","204 - 4933 CLARENDON ST ","Vancouver","Sutton Group-West Coast Realty","2",760900,889,855.905511811024,"South Renfrew"
"36","V5N 5Y8","1105 - 4028 KNIGHT ST ","Vancouver","Luxmore Realty","2",649999,945,687.82962962963,"South Grandview"
"37","V5R 3J3","207 - 4933 CLARENDON ST ","Vancouver","Sutton Group-West Coast Realty","3",820900,956,858.682008368201,"South Renfrew"
"38","V7K 2N6","4537 RAMSAY RD ","North Vancouver","Engel & Volkers Vancouver","4",1599000,2375,673.263157894737,"Not Available"
"39","V5X 0E2","2004 - 8131 NUNAVUT LANE ","Vancouver","Multiple Realty Ltd.","2",829000,760,1090.78947368421,"SE Oakridge/ East Marpole/ South Sunset"
"40","V5R 6H8","1708 - 3660 VANNESS AVE ","Vancouver","Oakwyn Realty Ltd.","1",549000,714,768.90756302521,"South Renfrew"
"41","V6Z 3H6","302 - 628 KINGHORNE MEWS ","Vancouver","Paolo Cartocci, RE/MAX Masters Realty","2",4798000,1844,2601.95227765727,"SW Downtown"
"42","V7J 1E7","1568 BOND ST ","North Vancouver","Paolo Cartocci, RE/MAX Masters Realty","5",1820000,2113,861.334595362045,"Not Available"
"43","V6H 2A9","1226 W 26 AVE ","Vancouver","Courtesy of Angela Huo, RE/MAX Westcoast","4",4998000,3688,1355.20607375271,"West fairview/ Granville Island/ NE Shaughnessy"
"44","V5W 1C3","225 E 36 AVE ","Vancouver","Emily Oh Realty","7",2799000,2821,992.201347040057,"SE Riley Park"
"45","V5M 3H9","218 - 1838 RENFREW ST ","Vancouver","Team 3000 Realty Ltd.","1",479000,569,841.82776801406,"South Hastings-Sunrise/North Renfrew"
"46","V5R 3B3","3303 E 44 AVE ","Vancouver","Team 3000 Realty Ltd.","7",2288000,3010,760.132890365448,"South Renfrew"
