"","zone","median_list","median_Price_sqfoot","frequency"
"1","South Shaughnessy/ NE Kerrisdale/ NW Oakridge",5588000,1255.647155829,31
"2","Waterfront/Coal Harbour/ Canada Place",4689444,2200.16172892103,20
"3","NW Arbutus Ridge/NE Dunbar",4388000,1308.04597701149,11
"4","West Kerrisdale/ South Dunbar",4180000,1152.2633744856,27
"5","West Kitsilano/ West Point Grey/Jericho",3450000,1300.08904719501,29
"6","West fairview/ Granville Island/ NE Shaughnessy",3399000,1332.41865934927,23
"7","SE Riley Park",1799888,992.201347040057,11
"8","Central Kitsilano",1750000,1003.23299888517,15
"9","NW West End/ Stanley Park",1750000,1649.9918723077,47
"10","SE Kensington-Cedar Cottage/Victoria",1674500,731.833392086724,26
"11","SE Kerrisdale/West Marpole",1599400,1111.91914041767,78
"12","West Kensington-Cedar Cottage/ NE Riley Park",1588888,890.746934225195,7
"13","SE Oakridge/ East Marpole/ South Sunset",1560000,1094.67368514028,31
"14","West Mount Pleasant/ West Riley Park",1499900,1186.31552395431,32
"15","NW Shaughnessy/ East Kitsilano/ Quilchena",1415000,1220.01679685589,22
"16","North Grandview",1399940,872.036167039523,10
"17","North hastings-Sunrise",1399000,734.491978609626,15
"18","NW Dunbar",1398500,1226.06689734717,42
"19","South Hastings-Sunrise/North Renfrew",1394950,776.255707762557,30
"20","South Grandview",1359000,897.270114942529,51
"21","East Fairview/ South Cambie",1199000,1186.10495544344,45
"22","SW Downtown",1148000,1310.11560693642,73
"23","SE West End/Davie Village",1129900,1306.95443645084,47
"24","South Renfrew",899900,876.703629032258,79
"25","UBC Endowment Lands",899000,912.690355329949,27
"26","Killarney",868000,805.997693194925,27
"27","Strathcona/Chinatown/ Downtown Eastside",866500,939.883438729896,22
"28","East Mount Pleasant",859900,994.068801897983,27
"29","NE Downtown/ Gastown/ Yaletown",806500,1111.25705080707,112
